2025-08-23 14:40:18,151 - INFO - ========= Initializing RKLLM model =========
2025-08-23 14:40:24,918 - INFO - RKLLM Model has been initialized successfully!
2025-08-23 14:40:24,918 - INFO - Simple RKLLM Streaming Server with Jinja2 Template starting...
2025-08-23 14:40:24,918 - INFO - Server starting on port 8080
2025-08-23 14:40:24,926 - INFO - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8080
 * Running on http://10.0.0.17:8080
2025-08-23 14:40:24,926 - INFO - [33mPress CTRL+C to quit[0m
2025-08-23 14:40:56,978 - INFO - Health check request from 10.0.0.61
2025-08-23 14:43:59,504 - INFO - [20250823_144258_853] Streaming chunk 1040, content: o...
2025-08-23 14:43:59,763 - INFO - [20250823_144258_853] Streaming chunk 1050, content: e...
2025-08-23 14:44:00,520 - INFO - [20250823_144258_853] Streaming chunk 1060, content:  ...
2025-08-23 14:44:01,034 - INFO - [20250823_144258_853] Streaming chunk 1070, content: g...
2025-08-23 14:44:01,538 - INFO - [20250823_144258_853] Streaming chunk 1080, content: {...
2025-08-23 14:44:01,791 - INFO - [20250823_144258_853] Streaming chunk 1090, content:  ...
2025-08-23 14:44:02,305 - INFO - [20250823_144258_853] Streaming chunk 1100, content: n...
2025-08-23 14:44:03,576 - INFO - [20250823_144258_853] Streaming chunk 1110, content: 8...
2025-08-23 14:44:05,098 - INFO - [20250823_144258_853] Streaming chunk 1120, content:  ...
2025-08-23 14:44:05,354 - INFO - [20250823_144258_853] Streaming chunk 1130, content: "...
2025-08-23 14:44:06,119 - INFO - [20250823_144258_853] Streaming chunk 1140, content: "...
2025-08-23 14:44:07,642 - INFO - [20250823_144258_853] Streaming chunk 1150, content:  ...
2025-08-23 14:44:08,152 - INFO - [20250823_144258_853] Streaming chunk 1160, content:  ...
2025-08-23 14:44:08,912 - INFO - [20250823_144258_853] Streaming chunk 1170, content: {...
2025-08-23 14:44:09,424 - INFO - [20250823_144258_853] Streaming chunk 1180, content: "...
2025-08-23 14:44:10,440 - INFO - [20250823_144258_853] Streaming chunk 1190, content: e...
2025-08-23 14:44:10,957 - INFO - [20250823_144258_853] Streaming chunk 1200, content: d...
2025-08-23 14:44:11,471 - INFO - [20250823_144258_853] Streaming chunk 1210, content: "...
2025-08-23 14:44:11,976 - INFO - [20250823_144258_853] Streaming chunk 1220, content:  ...
2025-08-23 14:44:12,244 - INFO - [20250823_144258_853] Streaming chunk 1230, content: s...
2025-08-23 14:44:12,997 - INFO - [20250823_144258_853] Streaming chunk 1240, content:  ...
2025-08-23 14:44:13,506 - INFO - [20250823_144258_853] Streaming chunk 1250, content: a...
2025-08-23 14:44:14,021 - INFO - [20250823_144258_853] Streaming chunk 1260, content: :...
2025-08-23 14:44:16,069 - INFO - [20250823_144258_853] Streaming chunk 1270, content: ,...
2025-08-23 14:44:16,321 - INFO - [20250823_144258_853] Streaming chunk 1280, content:  ...
2025-08-23 14:44:17,350 - INFO - [20250823_144258_853] Streaming chunk 1290, content: l...
2025-08-23 14:44:18,884 - INFO - [20250823_144258_853] Streaming chunk 1300, content: 
...
2025-08-23 14:44:19,139 - INFO - [20250823_144258_853] Streaming chunk 1310, content:  ...
2025-08-23 14:44:20,162 - INFO - [20250823_144258_853] Streaming chunk 1320, content: l...
2025-08-23 14:44:21,712 - INFO - [20250823_144258_853] Streaming chunk 1330, content:  ...
2025-08-23 14:44:21,713 - INFO - [20250823_144258_853] Streaming chunk 1340, content:  ...
2025-08-23 14:44:22,482 - INFO - [20250823_144258_853] Streaming chunk 1350, content: a...
2025-08-23 14:44:24,015 - INFO - [20250823_144258_853] Streaming chunk 1360, content:  ...
2025-08-23 14:44:24,016 - INFO - [20250823_144258_853] Streaming chunk 1370, content:  ...
2025-08-23 14:44:24,539 - INFO - [20250823_144258_853] Streaming chunk 1380, content: m...
2025-08-23 14:44:25,043 - INFO - [20250823_144258_853] Streaming chunk 1390, content: :...
2025-08-23 14:44:27,356 - INFO - [20250823_144258_853] Streaming chunk 1400, content: -...
2025-08-23 14:44:29,668 - INFO - [20250823_144258_853] Streaming chunk 1410, content: 
...
2025-08-23 14:44:30,180 - INFO - [20250823_144258_853] Streaming chunk 1420, content: 
...
2025-08-23 14:44:31,213 - INFO - [20250823_144258_853] Streaming completed, total chunks: 1427
2025-08-23 14:48:42,871 - INFO - ========= Initializing RKLLM model =========
2025-08-23 14:48:49,652 - INFO - RKLLM Model has been initialized successfully!
2025-08-23 14:48:49,652 - INFO - Simple RKLLM Streaming Server with Jinja2 Template starting...
2025-08-23 14:48:49,653 - INFO - Server starting on port 8080
2025-08-23 14:48:49,661 - INFO - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8080
 * Running on http://10.0.0.17:8080
2025-08-23 14:48:49,661 - INFO - [33mPress CTRL+C to quit[0m
2025-08-23 14:49:04,697 - INFO - Health check request from 10.0.0.61
2025-08-23 14:49:04,699 - INFO - 10.0.0.61 - - [23/Aug/2025 14:49:04] "GET /health HTTP/1.1" 200 -
2025-08-23 14:49:09,748 - INFO - [20250823_144909_748] Chat request received from 10.0.0.61
2025-08-23 14:49:09,749 - INFO - [20250823_144909_748] Request processing started
2025-08-23 14:49:09,750 - INFO - [20250823_144909_748] Template applied, prompt length: 5233 characters
2025-08-23 14:49:09,750 - INFO - [20250823_144909_748] Starting non-streaming generation
2025-08-23 14:50:26,062 - INFO - [20250823_144909_748] Non-streaming generation completed, output length: 1065 characters
2025-08-23 14:50:26,068 - INFO - 10.0.0.61 - - [23/Aug/2025 14:50:26] "POST /chat HTTP/1.1" 200 -
2025-08-23 14:50:36,101 - INFO - [20250823_145036_101] Chat request received from 10.0.0.61
2025-08-23 14:50:36,101 - INFO - [20250823_145036_101] Request processing started
2025-08-23 14:50:36,102 - INFO - [20250823_145036_101] Template applied, prompt length: 5233 characters
2025-08-23 14:50:36,103 - INFO - [20250823_145036_101] Starting streaming generation
2025-08-23 14:50:36,103 - INFO - [20250823_145036_101] Starting model thread for streaming
2025-08-23 14:50:36,385 - INFO - [20250823_145036_101] Token 1: 'O'
2025-08-23 14:50:36,387 - INFO - 10.0.0.61 - - [23/Aug/2025 14:50:36] "POST /chat HTTP/1.1" 200 -
2025-08-23 14:50:36,390 - INFO - [20250823_145036_101] Token 2: 'k'
2025-08-23 14:50:36,393 - INFO - [20250823_145036_101] Token 3: 'a'
2025-08-23 14:50:36,395 - INFO - [20250823_145036_101] Token 4: 'y'
2025-08-23 14:50:36,632 - INFO - [20250823_145036_101] Token 5: ','
2025-08-23 14:50:37,126 - INFO - [20250823_145036_101] Streaming chunk 10, content: 'e'...
